Year,cd,Bachelors_degree_or_higher,high_school_or_some_degree,Less_than_high_school_graduate
2021,6_VA,129661,332464,49083
2021,6_WA,164965,376131,48630
2021,6_WI,181235,427977,42508
2021,7_AL,57665,203697,32644
2021,7_AZ,18333,75456,23268
2021,7_CA,107692,196221,46720
2021,7_CO,135966,173263,23455
2021,7_FL,121422,188226,21560
2021,7_GA,315584,376933,86471
2021,7_IL,77853,60360,8426
2021,7_IN,86997,161495,42685
2021,7_MA,81098,76279,23218
2021,7_MD,134239,278554,57631
2021,7_MI,133918,244494,21244
2021,7_MN,73642,226813,23532
2021,7_MO,113348,307967,45006
2021,7_NC,152225,392701,61392
2021,7_NJ,238873,197839,22140
2021,7_NY,453482,489096,123803
2021,7_OH,94609,122734,13181
2021,7_PA,122872,259814,32901
2021,7_SC,81201,266228,45455
2021,7_TN,178633,345430,53939
2021,7_TX,359440,282531,60040
2021,7_VA,208785,332739,52209
2021,7_WA,275141,150851,15429
2021,7_WI,79792,235135,26886
2021,8_AZ,62718,155596,35653
2021,8_CA,57527,109503,31769
2021,8_CO,107796,220780,46426
2021,8_FL,126418,262040,34816
2021,8_GA,121673,444424,93241
2021,8_IL,292434,339993,63117
2021,8_IN,89198,291387,43865
2021,8_MA,353343,321314,55049
2021,8_MD,268540,152542,41348
2021,8_MI,120720,377381,47248
2021,8_MN,135018,359734,35108
2021,8_MO,99726,366035,62511
2021,8_NC,108596,242535,43135
2021,8_NJ,109405,129737,39480
2021,8_NY,146445,244185,62135
2021,8_OH,78814,224689,22965
2021,8_PA,97393,270352,37880
2021,8_TN,53227,218030,35659
2021,8_TX,172336,328762,63073
2021,8_VA,375194,179429,47371
2021,8_WA,88271,95883,15291
2021,8_WI,98908,245395,26275
2021,9_AZ,137317,490603,117016
2021,9_CA,111252,375075,96133
2021,9_FL,88381,202844,32893
2021,9_GA,100244,270098,68685
2021,9_IL,203706,140448,22800
2021,9_IN,134634,363104,49572
2021,9_MA,163817,256711,33278
2021,9_MI,150010,335932,37117
2021,9_NC,196880,315644,55480
2021,9_NJ,163205,277763,58798
2021,9_NY,71198,114230,21254
2021,9_OH,133167,363155,44295
2021,9_PA,128094,391551,57616
2021,9_TN,184482,361428,63368
2021,9_TX,262849,478680,180807
2021,9_VA,113316,339930,48042
2021,9_WA,318219,375590,70455
