Year,cd,Bachelors_degree_or_higher,high_school_or_some_degree,Less_than_high_school_graduate
2020,2_NJ,118437,275055,45744
2020,2_NM,49822,149257,35228
2020,2_NV,109563,290627,53564
2020,2_NY,115865,201853,34120
2020,2_OH,58668,252313,42723
2020,2_OK,106496,420355,75383
2020,2_OR,76289,262369,49460
2020,2_PA,87250,255365,64007
2020,2_RI,125632,250559,33565
2020,2_SC,66548,172699,27450
2020,2_TN,105272,195826,27775
2020,2_TX,225085,446322,94092
2020,2_UT,222905,462129,71054
2020,2_VA,171580,325124,35821
2020,2_WA,80611,184379,23078
2020,2_WI,176691,188545,15755
2020,2_WV,121463,374401,47056
2020,20_CA,53572,149962,41666
2020,20_FL,187799,395821,78621
2020,20_NY,160560,219520,28632
2020,20_TX,171779,379637,79678
2020,21_CA,7846,61139,34562
2020,21_FL,100930,254104,53180
2020,21_NY,119073,330711,49009
2020,21_TX,42921,88566,11076
2020,22_CA,87684,437333,174413
2020,22_FL,140817,250706,58591
2020,22_NY,130433,266605,39260
2020,22_TX,10452,26252,7628
2020,23_CA,114543,496384,124894
2020,23_FL,60165,75725,9270
2020,23_NY,108779,260628,30691
2020,23_TX,91688,186591,55936
2020,24_CA,121991,258269,58710
2020,24_FL,119859,266254,63937
2020,24_NY,185207,434634,55008
2020,24_TX,348707,320656,92397
2020,25_CA,66890,268398,86749
2020,25_FL,228191,369601,51089
2020,25_NY,123959,220951,35678
2020,25_TX,158142,451964,107465
2020,26_CA,144500,274805,71620
2020,26_FL,57165,176183,44310
2020,26_NY,161594,296476,39068
2020,26_TX,318740,340487,46038
2020,27_CA,145973,295802,73599
2020,27_FL,282328,422802,91426
2020,27_TX,77811,321652,71228
2020,28_CA,211388,341930,77058
2020,28_FL,73726,152655,43692
2020,28_TX,148146,499380,151957
2020,29_CA,62339,168212,76422
2020,29_TX,3006,23722,17091
2020,3_AL,77833,267634,49575
2020,3_AR,115118,244772,51815
2020,3_AZ,24685,110656,58520
2020,3_CA,214017,397623,48507
2020,3_CO,108242,264194,41316
2020,3_CT,131431,203942,24990
2020,3_FL,120629,358982,67828
2020,3_GA,77837,188452,34630
2020,3_IA,132770,210147,30496
2020,3_IL,403863,449234,103441
2020,3_IN,90143,253704,46774
2020,3_KS,208021,190609,23183
2020,3_KY,100980,199919,33281
2020,3_LA,102864,328684,69749
2020,3_MA,171065,268261,47999
2020,3_MD,219552,223682,27050
2020,3_MI,220689,428167,57544
2020,3_MN,213548,208739,20517
2020,3_MO,200365,368716,46022
2020,3_MS,91300,289853,55106
2020,3_NC,127815,440999,68311
2020,3_NE,92809,284886,38742
2020,3_NJ,261668,325158,41370
2020,3_NM,115883,353765,77444
2020,3_NV,215327,495710,79326
2020,3_NY,140340,90653,13640
2020,3_OH,244949,322844,48667
2020,3_OK,79653,297470,65214
2020,3_OR,102596,168975,35051
2020,3_PA,226261,322288,56726
2020,3_SC,83326,241645,50774
2020,3_TN,139143,374403,61593
2020,3_TX,288594,333303,53298
2020,3_UT,69966,158046,16088
