Year,cd,Less_than_$5000,$5000_to_$9999,$10000_to_$14999,$15000_to_$19999,$20000_to_$24999,$25000_to_$34999,$35000_to_$49999,$50000_to_$74999,$75000_to_$99999,$100000_to_$149999,$150000_or_more
2020,31_CA,2288,1903,4287,4363,4817,8358,11906,18579,15615,18828,17412
2020,31_TX,2849,3035,4258,4664,4954,9931,15733,25051,20973,27354,21915
2020,32_CA,18032,9967,21966,17188,17964,34255,50329,77948,63616,95852,156323
2020,32_TX,402,348,436,597,809,2215,2120,4325,3374,4700,5582
2020,33_CA,2233,2491,5491,4669,5138,9848,13311,20627,13722,13340,6689
2020,33_TX,1203,879,1243,1300,1714,3934,6541,8107,4739,4779,2703
2020,34_CA,18731,13723,28292,21181,22174,40600,53510,70046,46769,56203,57797
2020,34_TX,14087,18909,22447,22259,19145,35313,41612,54086,32224,34912,19555
2020,35_CA,2466,1418,3248,3454,4117,6986,11454,19519,16497,21249,22057
2020,35_TX,8901,6615,9300,8277,10065,21857,29884,41381,29234,32967,23058
2020,36_CA,3531,1104,3212,2871,2597,5032,6707,11952,11985,19912,44438
2020,36_TX,5504,5296,8823,8802,9787,18802,25360,35642,25722,33223,27891
2020,37_CA,9085,6241,10458,8010,10994,17546,25457,35248,27479,33876,42051
2020,37_TX,12811,8614,10480,10134,12082,28136,44531,72898,58560,90258,110209
2020,38_CA,8915,5117,9785,10345,11438,23634,35426,57941,49533,71563,71901
2020,38_TX,96,393,207,161,293,619,1008,1454,1584,1706,1618
2020,39_CA,8197,5765,9532,9628,11410,24891,36290,58914,46175,64069,60521
2020,4_AL,9793,12021,17798,18588,17614,33300,41602,51881,33126,31691,16930
2020,4_AR,12618,13143,21015,20901,21497,39193,48098,61789,37450,34582,18883
2020,4_AZ,14535,9194,14745,15872,18287,36772,57359,82244,57125,69155,56373
2020,4_CA,6977,5000,9067,6437,8627,16423,25053,40380,33572,46508,55532
2020,4_CO,2573,2057,3330,2983,3804,8625,12329,20323,18404,28910,38415
