Year,cd,Total_Agriculture_forestry_fishing_hunting_mining,Total_Construction,Total_Manufacturing,Total_Wholesale_trade,Total_Retail_trade,Total_Transportation_warehousing_utilities,Total_Information,Total_Finance_insurance_realestate_rental_leasing,Total_Professional_scientific_management_administrative_waste_management_services,Total_Educationalservices_healthcare_socialassistance,Total_Arts_entertainment_recreation_accommodation_foodservices,Total_Otherservices_except_Public_administration,Total_Public_administration,Male,Male_Agriculture_forestry_fishing_hunting_mining,Male_Construction,Male_Manufacturing,Male_Wholesale_trade,Male_Retail_trade,Male_Transportation_warehousing_utilities,Male_Information,Male_Finance_insurance_realestate_rental_leasing,Male_Professional_scientific_management_administrative_waste_management_services,Male_Educationalservices_healthcare_socialassistance,Male_Arts_entertainment_recreation_accommodation_foodservices,Male_Otherservices_except_Public_administration,Male_Public_administration,Female,Female_Agriculture_forestry_fishing_hunting_mining,Female_Construction,Female_Manufacturing,Female_Wholesale_trade,Female_Retail_trade,Female_Transportation_warehousing_utilities,Female_Information,Female_Finance_insurance_realestate_rental_leasing,Female_Professional_scientific_management_administrative_waste_management_services,Female_Educationalservices_healthcare_socialassistance,Female_Arts_entertainment_recreation_accommodation_foodservices,Female_Otherservices_except_Public_administration,Female_Public_administration
2019,2_CT,1973,16295,41177,7509,21572,11610,4666,22628,25188,56290,18077,8604,14261,144237,1402,14882,30837,5521,12491,8867,2955,10608,15574,17257,10285,4767,8791,105613,571,1413,10340,1988,9081,2743,1711,12020,9614,39033,7792,3837,5470
2019,1_NY,1683,30887,27691,14405,33401,21609,10166,31016,47519,96662,17656,13328,22790,215097,1237,27975,18887,9867,20891,17740,6477,17011,30724,29994,10999,8043,15252,153716,446,2912,8804,4538,12510,3869,3689,14005,16795,66668,6657,5285,7538
2019,3_CT,287,12170,25754,6472,16252,9504,4406,15430,20808,60207,9417,7971,9561,108046,167,10952,17890,4516,9591,7291,2753,7656,13160,18455,5806,4153,5656,90193,120,1218,7864,1956,6661,2213,1653,7774,7648,41752,3611,3818,3905
2019,4_CT,836,18357,25098,8544,22705,10763,8467,42404,46006,56313,15558,11610,6973,160674,547,17300,16930,5670,14072,8323,5114,28218,29064,15637,9857,5616,4326,112960,289,1057,8168,2874,8633,2440,3353,14186,16942,40676,5701,5994,2647
2019,6_NJ,732,19791,30067,13181,29020,26037,9732,30908,51781,63811,17297,12167,13802,186844,607,18384,19239,9105,17745,19454,7031,17684,32690,18660,9715,7464,9066,131482,125,1407,10828,4076,11275,6583,2701,13224,19091,45151,7582,4703,4736
2019,10_NJ,510,20296,23656,9135,26521,32881,7988,29202,42660,69191,19318,13269,16553,171781,352,19009,15142,6145,15415,24572,4637,16602,24751,18157,11247,7036,8716,139399,158,1287,8514,2990,11106,8309,3351,12600,17909,51034,8071,6233,7837
2019,11_NJ,489,17645,39212,13526,28522,18188,15076,44594,61420,77696,17122,12456,15967,207522,301,15910,24633,8717,17157,14479,9821,27358,37986,24363,9978,6529,10290,154391,188,1735,14579,4809,11365,3709,5255,17236,23434,53333,7144,5927,5677
2019,9_NJ,279,19928,36807,13101,27956,22359,7539,21776,34468,55020,16431,12556,10099,161417,214,18566,22390,8943,16451,17746,5045,12216,21194,15761,9590,7165,6136,116902,65,1362,14417,4158,11505,4613,2494,9560,13274,39259,6841,5391,3963
2019,7_NJ,1810,15875,36139,10819,22142,12227,10822,32691,44086,51849,12448,10027,12348,158611,1056,14323,22782,7301,13644,9672,7017,19299,28406,14732,7031,5345,8003,114672,754,1552,13357,3518,8498,2555,3805,13392,15680,37117,5417,4682,4345
2019,5_NJ,911,16547,26013,13121,26424,14100,9337,33314,42912,63670,13874,11715,9625,163432,677,14849,17378,8648,15635,11567,5803,20081,27317,20313,8824,6060,6280,118131,234,1698,8635,4473,10789,2533,3534,13233,15595,43357,5050,5655,3345
